time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:fileDeletionBacklog,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:nBinDeltaDeleteOps,Op:nBinDeltaGetOps,Op:nBinDeltaInsertOps,Op:nBinDeltaUpdateOps,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2016-11-29 20:17:16.124 UTC, ,589,3176829,1752,30064,448, ,7, ,46,4,0.09, , , , , , , ,7,7, , , ,5,2,10, ,24,9, , , , , , , , , , , , , ,9917,2, ,7382, , , , , ,28,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1480450575759,3145728, , , ,17,0, , , ,1, , , ,3, , , , ,17,1, , , , , , ,36864,18, , , , , , , , , , ,18307512,-1, , , , , , ,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,3, , , , , , , , , , ,22, ,2, , , , , , , , , , , , , , , , , , , , , 
2016-11-29 20:18:16.156 UTC, ,589,3176829,1752,30064,448, ,7, ,31, , , , , , , , , ,7,7, , , ,5,2,10, ,16,1, , , , , , , , , , , , , ,9917,2, ,7382, , , , , ,28,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1480450575759,3145728, , , ,1,0, , , , , , , ,3, , , , ,1,1, , , , , , ,2048,1, , , , , , , , , , ,18470088,-1, , , , , , ,30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,22, ,1, , , , , , , , , , , , , , , , , , , , , 
2016-11-29 20:19:16.194 UTC, ,589,3176829,1752,30064,448, ,7, ,89, , , , , , , , , ,7,7, , , ,5,2,10, ,41,1, , , , , , , , , , , , , ,9917,2, ,7382, , , , , ,28,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1480450575759,3145728, , , ,1,0, , , , , , , ,3, , , , ,1,1, , , , , , ,2048,1, , , , , , , , , , ,19274352,-1, , , , , , ,86, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,3, , , , , , , , , , ,60, ,6, , , , , , , , , , , , , , , , , , , , , 
2016-11-29 20:20:01.149 UTC, ,589,3176381,1752,30064, , ,7, ,15, , , , , , , , , ,7,7, , , ,5,2,10, ,7, , , , , , , , , , , , , , ,9917,2, ,7382, , , , , ,28,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1480450575759,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,19274352,-1, , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9, ,1, , , , , , , , , , , , , , , , , , , , , 
2016-11-29 20:24:04.053 UTC, ,125,3163373,1752,17520, , ,3, ,25,3,0.12, , , , , , , ,3,3, ,2, ,2,1,4, ,25,12, , , , , , , , , , , , , ,12180,3, ,11619, , , , , ,24,24, , , , , ,2,122, , , , , , , , , , , , , , , , , , , , , , , , ,1480451043702,3145728, , , ,20,0, , , ,2, , , ,3, , , , ,20, ,2048,1, , , , ,141312,33, , , , , , , , ,1,4,14454904,-1, , , , , , ,17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-11-29 20:25:00.371 UTC, ,589,3176405,1752,30088, , ,7, ,48,4,0.08, , , , , , , ,7,7, , , ,5,2,10, ,25,11, , , , , , , , , , , , , ,12180,3, ,11619, , , , , ,24,24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1480451043702,3145728, , , ,19,0, , , ,1, , , ,3, , , , ,19,1, , , , , , ,40960,20, , , , , , , , , , ,17251616,-1, , , , , , ,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,6, , , , , , , , , , ,26, ,3, , , , , , , , , , , , , , , , , , , , , 
2016-11-29 20:28:57.729 UTC, ,125,3163397,1752,17544, , ,3, ,25,3,0.12, , , , , , , ,3,3, ,2, ,2,1,4, ,27,13, , , , , , , , , , , , , ,13543,4, ,12848, , , , , ,22,22, , , , , ,2,135, , , , , , , , , , , , , , , , , , , , , , , , ,1480451337371,3145728, , , ,21,0, , , ,2, , , ,3, , , , ,21, ,2048,1, , , , ,143360,34, , , , , , , , ,1,4,15524944,-1, , , , , , ,17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-11-29 20:29:57.740 UTC, ,589,3176877,1752,30112,448, ,7, ,42,4,0.10, , , , , , , ,7,7, , , ,5,2,10, ,24,9, , , , , , , , , , , , , ,13543,4, ,12848, , , , , ,22,22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1480451337371,3145728, , , ,17,0, , , ,1, , , ,3, , , , ,17,1, , , , , , ,36864,18, , , , , , , , , , ,18293304,-1, , , , , , ,44, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,22, ,2, , , , , , , , , , , , , , , , , , , , , 
2016-11-29 20:30:33.787 UTC, ,589,3176429,1752,30112, , ,7, , , , , , , , , , , ,7,7, , , ,5,2,10, , , , , , , , , , , , , , , , ,13543,4, ,12848, , , , , ,22,22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1480451337371,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,18455856,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-11-29 20:32:01.373 UTC, ,125,3163421,1752,17568, , ,3,1,25,3,0.12, , , , , , , ,3,3, ,2,1,2,1,4, ,29,14, , , , , , , , , , , , , ,14646,5, ,14108, , , , , ,21,21, , , , , ,2,145, , , , , , , , , , , , , , , , , , , , , , , , ,1480451521020,3145728, , , ,23,0, , , ,2, , , ,3, , , , ,23, ,2048,1, , , , ,147456,36, , , , , , , , ,1,5,14565424,-1, , , , , , ,17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-11-29 20:32:26.922 UTC, ,589,3176453,1752,30136, , ,7, ,31,4,0.13, , , , , , , ,7,7, , , ,5,2,10, ,20,9, , , , , , , , , , , , , ,14646,5, ,14108, , , , , ,21,21, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1480451521020,3145728, , , ,17,0, , , ,1, , , ,3, , , , ,17,1, , , , , , ,36864,18, , , , , , , , , , ,17312104,-1, , , , , , ,34, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16, ,1, , , , , , , , , , , , , , , , , , , , , 
2016-11-29 20:37:26.401 UTC, ,125,3163525,1752,17592,80, ,3, ,26,3,0.12, , , , , , , ,3,3, ,2, ,2,1,4, ,32,16, , , , , , , , , , , , , ,15777,6, ,15050, , , , , ,20,20, , , , , ,2,156, , , , , , , , , , , , , , , , , , , , , , , , ,1480451846029,3145728, , , ,24,0, , , ,3, , , ,3, , , , ,24,1,2048,1, , , , ,151552,38, , , , , , , , ,1,5,14532400,-1, , , , , , ,19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-11-29 20:38:26.413 UTC, ,589,3176925,1752,30160,448, ,7, ,24,4,0.17, , , , , , , ,7,7, , , ,5,2,10, ,14,8, , , , , , , , , , , , , ,15777,6, ,15050, , , , , ,20,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1480451846029,3145728, , , ,16,0, , , , , , , ,3, , , , ,16,1, , , , , , ,32768,16, , , , , , , , , , ,16970560,-1, , , , , , ,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11, ,1, , , , , , , , , , , , , , , , , , , , , 
2016-11-29 20:39:26.441 UTC, ,589,3176925,1752,30160,448, ,7, ,41, , , , , , , , , ,7,7, , , ,5,2,10, ,19,2, , , , , , , , , , , , , ,15777,6, ,15050, , , , , ,20,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1480451846029,3145728, , , ,2,0, , , , , , , ,3, , , , ,2,1, , , , , , ,4096,2, , , , , , , , , , ,17458088,-1, , , , , , ,41, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,3, , , , , , , , , , ,31, ,3, , , , , , , , , , , , , , , , , , , , , 
2016-11-29 20:39:32.981 UTC, ,589,3176477,1752,30160, , ,7, ,14, , , , , , , , , ,7,7, , , ,5,2,10, ,6, , , , , , , , , , , , , , ,15777,6, ,15050, , , , , ,20,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1480451846029,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,17782856,-1, , , , , , ,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9, ,1, , , , , , , , , , , , , , , , , , , , , 
2016-11-29 20:46:54.886 UTC, ,125,3163549,1752,17616,80, ,3,1,26,3,0.12, , , , , , , ,3,3, ,2,1,2,1,4, ,33,16, , , , , , , , , , , , , ,17444,7, ,16898, , , , , ,19,19, , , , , ,3,169, , , , , , , , , , , , , , , , , , , , , , , , ,1480452414517,3145728, , , ,25,0, , , ,2, , , ,3, , , , ,25, ,2048,1, , , , ,167936,40, , , , , , , , ,1,4,14510784,-1, , , , , , ,19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-11-29 20:47:54.898 UTC, ,589,3173965,1752,27200,448, ,6, ,51,3,0.06, , , , , , , ,6,6, , , ,4,3,7, ,20,6, , , , , , , , , , , , , ,17444,7, ,16898, , , , , ,19,19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1480452414517,3145728, , , ,12,0, , , ,1, , , ,3, , , , ,12,1, , , , , , ,26624,13, , , , , , , , , , ,17130048,-1, , , , , , ,47, , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , ,5, ,9, , , , , , , , , ,6,16, , , , , , , , , , , , , , , , , , , , , , , 
